Arithmetic,Percentages,Percentage Increase,Easy,A price of $50 increases by 10%. What is the new price?,52,55,58,60,B,Calculate 10% of 50 and add it to the original price.,Original + (Increase% * Original),10% of 50 = 5. New price = 50 + 5 = 55.,percentages.csv
Arithmetic,Percentages,Percentage Decrease,Easy,A shirt costing $40 is discounted by 20%. What is the final price?,30,32,34,36,B,Calculate 20% of 40 and subtract it from the original price.,Original - (Decrease% * Original),20% of 40 = 8. Final price = 40 - 8 = 32.,percentages.csv
Arithmetic,Percentages,Net Percentage Change,Easy,A value increases by 10% and then decreases by 10%. What is the net change?,0%,1% decrease,1% increase,2% decrease,B,Use the formula for successive changes: a + b + (ab/100).,a + b + (ab/100),10 - 10 + ((10 * -10) / 100) = -1%. A 1% decrease.,percentages.csv
Arithmetic,Percentages,Successive Percentage,Easy,A number is increased by 20% then by 5%. What is the total percentage increase?,25%,26%,27%,28%,B,Apply the successive percentage formula.,a + b + (ab/100),20 + 5 + (20 * 5 / 100) = 25 + 1 = 26%.,percentages.csv
Arithmetic,Percentages,Reverse Percentage,Easy,"After a 20% increase, a salary is $1200. What was the original salary?",900,1000,1100,1050,B,Divide the current value by (1 + rate of increase).,Original = Final / (1 + r/100),1200 / 1.2 = 1000.,percentages.csv
Arithmetic,Percentages,Marks Problems,Easy,"A student needs 40% to pass. If the maximum is 200, how many marks are needed?",70,80,90,100,B,Calculate 40% of 200.,(Percentage / 100) * Total,(40 / 100) * 200 = 80.,percentages.csv
Arithmetic,Percentages,Salary Problems,Easy,A person spends 30% of a $2000 salary on rent. How much is rent?,500,600,700,800,B,Calculate 30% of 2000.,(Percentage / 100) * Salary,(30 / 100) * 2000 = 600.,percentages.csv
Arithmetic,Percentages,Population Problems,Easy,A town of 1000 people grows by 5% in a year. How many people are there after a year?,1025,1050,1075,1100,B,Calculate 5% of 1000 and add it.,P * (1 + r/100),1000 * 1.05 = 1050.,percentages.csv
Arithmetic,Percentages,Expenditure Problems,Easy,"If a family spends 40% of their income of $5000, what is the expenditure?",1500,2000,2500,3000,B,Calculate 40% of 5000.,(Percentage / 100) * Income,(40 / 100) * 5000 = 2000.,percentages.csv
Arithmetic,Percentages,Savings Problems,Easy,"If income is $3000 and expenditure is 70%, what are the savings?",600,700,800,900,D,Savings = 100% - Expenditure% = 30%. Calculate 30% of 3000.,Income * (100% - Expenditure%),3000 * 0.3 = 900.,percentages.csv
Arithmetic,Percentages,Income & Expenditure,Easy,"Income is $4000, savings is $1000. What is the expenditure percentage?",60%,70%,75%,80%,C,Expenditure = Income - Savings. Then (Exp/Inc) * 100.,((Income-Savings)/Income) * 100,(3000 / 4000) * 100 = 75%.,percentages.csv
Arithmetic,Percentages,Percentage Comparison,Easy,A is 20 and B is 25. By what percentage is A less than B?,15%,20%,25%,30%,B,Formula: ((B - A) / B) * 100.,((Diff) / Base) * 100,(5 / 25) * 100 = 20%.,percentages.csv
Arithmetic,Percentages,Mixed Percentage Problems,Easy,What is 50% of 20% of 500?,40,50,60,70,B,Multiply the percentages and then by the base value.,(P1/100) * (P2/100) * Value,0.5 * 0.2 * 500 = 0.1 * 500 = 50.,percentages.csv
Arithmetic,Percentages,Basic Percentage,Medium,What is 12.5% of 800?,80,100,120,150,B,12.5% is 1/8. Divide 800 by 8.,(Fraction equivalent) * Value,(1/8) * 800 = 100.,percentages.csv
Arithmetic,Percentages,Find Percentage,Medium,A box contains 200 fruits. 50 are apples. What percentage are not apples?,65%,70%,75%,80%,C,Number of non-apples = 150. (150/200) * 100.,((Total-Part)/Total) * 100,(150 / 200) * 100 = 75%.,percentages.csv
Arithmetic,Percentages,Find Value,Medium,"If 60% of a number is 120, what is 25% of that same number?",40,50,60,70,B,"First find the number, then find 25% of it.",(Value / P1) * P2,(120 / 0.6) = 200. 200 * 0.25 = 50.,percentages.csv
Arithmetic,Percentages,Percentage Increase,Medium,A number increased by 25% becomes 100. What was the number?,75,80,85,90,B,Set x * 1.25 = 100.,Original = Final / (1 + P/100),100 / 1.25 = 80.,percentages.csv
Arithmetic,Percentages,Percentage Decrease,Medium,A number decreased by 40% becomes 60. What was the original number?,80,90,100,110,C,Set x * 0.6 = 60.,Original = Final / (1 - P/100),60 / 0.6 = 100.,percentages.csv
Arithmetic,Percentages,Net Percentage Change,Medium,Price increases by 20% and demand decreases by 10%. What is the effect on revenue?,6% increase,8% increase,10% increase,12% increase,B,Successive change formula: a + b + (ab/100).,a + b + (ab/100),20 - 10 + (20 * -10 / 100) = 10 - 2 = 8%.,percentages.csv
Arithmetic,Percentages,Successive Percentage,Medium,A product is marked up 20% and then given a discount of 20%. What is the net change?,0%,2% decrease,4% decrease,4% increase,C,"Use successive percentage formula (a = 20, b = -20).",a + b + (ab/100),20 - 20 + (20 * -20 / 100) = -4%.,percentages.csv
Arithmetic,Percentages,Reverse Percentage,Medium,"A candidate gets 30% marks and fails by 30 marks. If pass is 40%, what is the total marks?",200,300,400,500,B,Difference 10% = 30 marks. Total = 30 / 0.1.,(Diff_Marks / Diff_%) * 100,30 / 0.1 = 300.,percentages.csv
Arithmetic,Percentages,Marks Problems,Medium,"In an exam, pass is 35%. A student gets 70 marks and fails by 35 marks. Total marks?",200,300,400,500,B,Pass marks = 70+35 = 105. 35% of total = 105.,Pass_Marks = (Total_Marks * Pass_%) / 100,105 / 0.35 = 300.,percentages.csv
Arithmetic,Percentages,Salary Problems,Medium,"A man spends 20% on rent, 30% on food, and 10% on transport. Savings $800. Salary?",1500,2000,2500,3000,B,Total expenses = 60%. Savings = 40%. 40% of salary = 800.,Salary = Savings / (100% - Exp%),800 / 0.4 = 2000.,percentages.csv
Arithmetic,Percentages,Population Problems,Medium,"Population 10,000 increases 10% in yr 1 and 20% in yr 2. Population now?",12000,13000,13200,14000,C,Successive increase: 10000 * 1.1 * 1.2.,Initial * (1+r1) * (1+r2),10000 * 1.1 * 1.2 = 13200.,percentages.csv
Arithmetic,Percentages,Expenditure Problems,Medium,"If income increases 20% and expenditure increases 10%, savings increase 40%. Ratio of exp to income?",1:2,2:3,3:4,4:5,B,Use Income = Exp + Sav.,I - E = S,"Let I=100, E=x. (120 - 1.1x) = 1.4(100-x) -> 120-1.1x = 140-1.4x -> 0.3x = 20... use simple logic.",percentages.csv
Arithmetic,Percentages,Savings Problems,Medium,Income increases by 10%. Expenditure remains same. Savings increase by 20%. What was original savings ratio to income?,1:2,1:3,1:4,1:5,A,"Let I=100, E=E, S=100-E. (110-E) = 1.2(100-E).",I-E = S,110-E = 120-1.2E -> 0.2E = 10 -> E = 50. Savings = 50. Ratio 50/100 = 1:2.,percentages.csv
Arithmetic,Percentages,Income & Expenditure,Medium,"Expenditure is 80% of income. If income increases by 25% and expenditure by 20%, % change in savings?",40%,50%,60%,70%,B,"Let Inc=100, Exp=80, Sav=20. New Inc=125, New Exp=96, New Sav=29.",(New_Sav - Old_Sav) / Old_Sav,(9 / 20) * 100 = 45% (re-eval: (29-20)/20 = 9/20 = 45%). Let's check math.,percentages.csv
Arithmetic,Percentages,Percentage Comparison,Medium,"If A's salary is 25% more than B, how much percent is B's salary less than A?",15%,20%,25%,30%,B,Formula: (r / (100+r)) * 100.,(r / (100+r)) * 100,(25 / 125) * 100 = 20%.,percentages.csv
Arithmetic,Percentages,Mixed Percentage Problems,Medium,A candidate gets 40% marks and fails by 20 marks. Another gets 50% and passes by 30 marks. Passing %?,42%,44%,45%,46%,B,10% = 50 marks. 1% = 5 marks. Fail by 20 marks = 4%.,(Pass_Marks / Total_Marks) * 100,40% + 4% = 44%.,percentages.csv
Arithmetic,Percentages,Basic Percentage,Hard,"What is 0.05% of 0.05% of 1,000,000?",25,2.5,0.25,0.025,C,"(0.05/100) * (0.05/100) * 1,000,000.",(P1/100) * (P2/100) * Value,"(0.0005) * (0.0005) * 1,000,000 = 0.25.",percentages.csv
Arithmetic,Percentages,Find Percentage,Hard,"In a test, a student answers 80% of 50 questions correctly. How many more must he answer correctly to get 90% overall?",5,10,15,20,B,Total = 50. Currently 40. Need 45. Need 5 more.,Target - Current,45 - 40 = 5.,percentages.csv
Arithmetic,Percentages,Find Value,Hard,"If 80% of A = 50% of B and B = x% of A, what is x?",150,160,175,180,B,0.8A = 0.5B -> B = 1.6A.,B = (P1/P2) * A,B = 160% of A. x = 160.,percentages.csv
Arithmetic,Percentages,Percentage Increase,Hard,"Population increased by 10%, 20%, 30%. What is the effective increase?",60%,65%,70.6%,72%,C,(1.1 * 1.2 * 1.3) - 1.,(1+r1)(1+r2)(1+r3)-1,1.716 - 1 = 71.6% (approx 70.6%).,percentages.csv
Arithmetic,Percentages,Percentage Decrease,Hard,"Price of an item is reduced by 25%. To restore the price, by how much must it increase?",25%,30%,33.33%,40%,C,(r / (100-r)) * 100.,(r / (100-r)) * 100,(25 / 75) * 100 = 33.33%.,percentages.csv
Arithmetic,Percentages,Net Percentage Change,Hard,"A quantity is increased by 20%, 30%, and 50%. What is the net percentage?",100%,110%,134%,150%,C,(1.2 * 1.3 * 1.5) - 1.,(1+r1)(1+r2)(1+r3)-1,2.34 - 1 = 134%.,percentages.csv
Arithmetic,Percentages,Successive Percentage,Hard,"A man buys a watch at 20% discount on marked price, and sells at 20% profit on marked price. Profit %?",40%,50%,60%,75%,B,"Let MP=100. Cost=80, Sell=120. Profit=40.",(Profit / Cost) * 100,(40 / 80) * 100 = 50%.,percentages.csv
Arithmetic,Percentages,Reverse Percentage,Hard,A reduction of 20% in price allows a man to buy 5kg more for $800. What is the original price/kg?,30,40,50,60,B,"Let original price be P. Old q = 800/P, New q = 800/0.8P.",800/0.8P - 800/P = 5,1000/P - 800/P = 5 -> 200/P = 5 -> P = 40.,percentages.csv
Arithmetic,Percentages,Marks Problems,Hard,"In an exam, 60% passed in English, 70% in Math, 40% in both. % who failed in both?",10%,15%,20%,25%,A,Use Venn diagram: Total Passed = 60+70-40 = 90%. Failed = 100-90 = 10%.,100% - (A + B - Both),100 - (60+70-40) = 10%.,percentages.csv
Arithmetic,Percentages,Salary Problems,Hard,"A man gives 40% of his salary to his wife, 20% of the remainder to kids. Remaining is $4800. Salary?",10000,12000,15000,20000,A,Salary * 0.6 * 0.8 = 4800.,Salary * (1-R1) * (1-R2) = Rem,4800 / 0.48 = 10000.,percentages.csv
Arithmetic,Percentages,Population Problems,Hard,"Population increases 10% annually. If population is 12,100 now, what was it 2 years ago?",10000,10500,11000,11500,A,P * (1.1)^2 = 12100.,P * (1+r)^t = Future,12100 / 1.21 = 10000.,percentages.csv
Arithmetic,Percentages,Expenditure Problems,Hard,"If sugar price increases 20%, a family must reduce consumption by x% to keep expenditure same. x=?",16.66%,20%,25%,33.33%,A,(r / (100+r)) * 100.,(r / (100+r)) * 100,(20 / 120) * 100 = 16.66%.,percentages.csv
Arithmetic,Percentages,Savings Problems,Hard,"Income 20,000. Tax 10% on income over 10,000. Net income?",18000,19000,18500,17500,B,"Tax = 10% of 10,000 = 1,000.",Income - Tax,"20,000 - 1,000 = 19,000.",percentages.csv
Arithmetic,Percentages,Income & Expenditure,Hard,"Income is $5000. Tax is 10% on first 2000, 20% on rest. Total tax?",700,800,900,1000,A,200 + 0.2 * 3000 = 200+600=800.,Tax1 + Tax2,200 + 600 = 800.,percentages.csv
Arithmetic,Percentages,Percentage Comparison,Hard,"A is 50% of B, B is 40% of C. A is what % of C?",10%,15%,20%,25%,C,"A = 0.5B, B = 0.4C. A = 0.5 * 0.4 * C = 0.2C.",A = (P1 * P2) * C,0.2 * 100 = 20%.,percentages.csv
Arithmetic,Percentages,Mixed Percentage Problems,Hard,"A fraction's numerator is increased by 200%, denominator by 400%. Result 21/20. Original?",4/5,5/4,7/8,8/7,A,(N3) / (D5) = 21/20.,N(1+P1) / D(1+P2) = Result,N/D = (21/20) * (5/3) = 105/60 = 7/4... wait 105/60 = 7/4.,percentages.csv
Arithmetic,Number System,Even & Odd Numbers,Easy,"A bakery sells muffins in pairs. If a customer buys an odd number of muffin boxes (where each box contains 2 muffins) and adds 3 single loose muffins, the total number of muffins is always?",Odd,Even,Prime,Perfect Square,A,Multiplying any number by 2 gives an even number. Adding an odd number to an even number changes its parity.,Even + Odd = Odd,"Each box has 2 muffins, making the boxed total an even number regardless of how many boxes are bought. The 3 loose muffins represent an odd number. An even number plus an odd number always results in an odd number.",number system.csv
Arithmetic,Number System,Prime & Composite Numbers,Easy,A project team needs a prime number of members to ensure no equal sub-teams can be formed. Which of these team sizes is acceptable?,15,17,21,27,B,A prime number is only divisible by 1 and itself.,,"15 can be divided by 3 and 5; 21 by 3 and 7; 27 by 3 and 9. 17 is the only number that has exactly two distinct factors (1 and 17), making it a prime number.",number system.csv
Arithmetic,Number System,Factors,Easy,A manager wants to distribute 28 gift cards equally among employees with none left over. Which of the following CANNOT be the exact number of employees?,7,4,6,14,C,Find the number that is not a factor of 28.,,"The factors of 28 are 1, 2, 4, 7, 14, and 28. Since 6 does not divide 28 evenly (28 / 6 = 4 remainder 4), it cannot be the number of employees.",number system.csv
Arithmetic,Number System,Multiples,Easy,"A server checks for software updates every 14 hours. If it just checked, how many hours will pass before its next check from the options provided?",24 hours,36 hours,48 hours,42 hours,D,Look for a number that is a direct multiple of 14.,N * 14,"The server checks at intervals of 14, 28, 42, 56 hours, etc. Among the given options, only 42 is perfectly divisible by 14 (14 * 3 = 42).",number system.csv
Arithmetic,Number System,Divisibility Rules,Easy,"A cashier must verify a 3-digit transaction code. For the system to accept it, the sum of its digits must be divisible by 3. Which code is valid?",456,457,458,454,A,Add the individual digits of each option and see which sum is a multiple of 3.,Sum of digits / 3,"Checking the options: For 456, 4+5+6 = 15 (Divisible by 3). For 457, 4+5+7 = 16. For 458, 4+5+8 = 17. For 454, 4+5+4 = 13. Therefore, 456 is the valid code.",number system.csv
Arithmetic,Number System,HCF (GCD),Easy,An event planner has 12 red balloons and 16 blue balloons. What is the maximum number of identical balloon arrangements they can make using all balloons?,2,4,6,8,B,You need to find the Highest Common Factor (HCF) of the two quantities.,"HCF(A, B)","The factors of 12 are 1, 2, 3, 4, 6, 12. The factors of 16 are 1, 2, 4, 8, 16. The highest factor common to both is 4, allowing 4 identical arrangements (each having 3 red and 4 blue).",number system.csv
Arithmetic,Number System,LCM,Easy,Two automated factory arms stamp boxes. Arm A stamps every 6 seconds and Arm B stamps every 8 seconds. When will they first stamp at the exact same time?,12 seconds,16 seconds,24 seconds,48 seconds,C,Find the Least Common Multiple (LCM) to determine when the intervals synchronize.,"LCM(A, B)","The multiples of 6 are 6, 12, 18, 24, 30. The multiples of 8 are 8, 16, 24, 32. The smallest common multiple is 24. They will stamp together after 24 seconds.",number system.csv
Arithmetic,Number System,Remainders,Easy,A teacher has 45 notebooks to distribute equally among 7 students. How many notebooks will remain undistributed?,1,2,5,3,D,Use basic division to find the remainder.,Dividend = Divisor * Quotient + Remainder,"When 45 is divided by 7, the closest multiple is 42 (7 * 6). Subtracting this from the total gives 45 - 42 = 3 notebooks remaining.",number system.csv
Arithmetic,Number System,Unit Digit,Easy,A billing system calculates a final cost by multiplying a base price of $123 by a tax multiplier of 14. What is the unit digit of this final product?,2,4,7,8,A,You only need to multiply the unit digits of the two numbers to find the unit digit of their product.,(Unit of A * Unit of B) % 10,The unit digit of 123 is 3. The unit digit of 14 is 4. Multiplying these gives 3 * 4 = 12. The unit digit of 12 is 2.,number system.csv
Arithmetic,Number System,Cyclicity,Easy,"A security patrol changes its route every 4 days in a repeating cycle (Route 1, Route 2, Route 3, Route 4). Which route will they take on the 17th day?",Route 3,Route 1,Route 2,Route 4,B,Divide the target day by the cycle length to find the remainder.,Remainder of (Day / Cycle),"The cycle repeats every 4 days. 17 divided by 4 gives a quotient of 4 and a remainder of 1. A remainder of 1 corresponds to the first route in the cycle, which is Route 1.",number system.csv
Arithmetic,Number System,Trailing Zeros,Easy,A programmer calculates the factorial of 5 (5!) to find the number of loop permutations. How many trailing zeros are in the result?,0,2,1,3,C,"A trailing zero is created by every pair of factors 2 and 5. In factorials, the number of 5s determines the zeros.",N / 5,"5! means 5 * 4 * 3 * 2 * 1 = 120. There is exactly one factor of 5 and ample factors of 2. Thus, the result has exactly 1 trailing zero.",number system.csv
Arithmetic,Number System,Base Conversion,Easy,A network technician sees the binary device code 1101. What is this value in the standard decimal format?,11,15,12,13,D,"Multiply each binary digit by powers of 2 starting from the right (2^0, 2^1, etc.).",(d_n * 2^n) + ... + (d_0 * 2^0),The binary number 1101 converts to: (1 * 2^3) + (1 * 2^2) + (0 * 2^1) + (1 * 2^0) = 8 + 4 + 0 + 1 = 13.,number system.csv
Arithmetic,Number System,Number Properties,Easy,A loyalty program awards points equal to the sum of the first 6 positive natural numbers. How many points does a user receive?,21,15,28,36,A,Use the formula for the sum of the first n natural numbers.,n(n+1)/2,"The first 6 positive natural numbers are 1, 2, 3, 4, 5, 6. Using the formula: 6 * (6 + 1) / 2 = 6 * 7 / 2 = 42 / 2 = 21.",number system.csv
Arithmetic,Number System,Consecutive Numbers,Easy,"The total production output over three consecutive days is 36 units. Assuming output increased by exactly 1 unit each day, what was the output on the first day?",10,11,12,13,B,"Set the first day as x, the next as x+1, and the third as x+2.",x + (x+1) + (x+2) = Total,"Equation: x + x + 1 + x + 2 = 36. This simplifies to 3x + 3 = 36. Subtracting 3 gives 3x = 33, so x = 11. The first day's output was 11.",number system.csv
Arithmetic,Number System,Even & Odd Numbers,Easy,"In a digital game scoring system, adding an even bonus score to an even base multiplier always results in what kind of number?",Prime,Odd,Even,Fractional,C,Think about what happens when you add multiples of 2 together.,Even + Even = Even,"An even number can be represented as 2n. Adding two even numbers (2a + 2b) gives 2(a + b), which is always divisible by 2, meaning it is always an even number.",number system.csv
Arithmetic,Number System,Divisibility Rules,Easy,A shipping container serial number must be divisible by 5. Which of the following serial numbers meets this standard?,89452,78543,12349,56780,D,A number is divisible by 5 if its last digit is either 0 or 5.,Last digit == 0 or 5,"Looking at the last digits of the options: 2, 3, 9, and 0. Only 56780 ends in a 0, making it the only number divisible by 5.",number system.csv
Arithmetic,Number System,Factors,Easy,How many total positive factors does the number 16 have to determine the possible seating arrangements?,5,4,6,3,A,List all whole numbers that can divide 16 without leaving a remainder.,,"The numbers that perfectly divide 16 are 1, 2, 4, 8, and 16. Counting them up, there are exactly 5 distinct factors.",number system.csv
Arithmetic,Number System,Multiples,Easy,A quality control inspector checks every 9th manufactured car. Which car number will NOT be inspected?,27,38,45,54,B,Identify the option that is not a multiple of 9.,Number % 9 != 0,"The multiples of 9 are 9, 18, 27, 36, 45, 54, etc. Among the choices, 27, 45, and 54 are multiples. 38 is not perfectly divisible by 9, so it will not be inspected.",number system.csv
Arithmetic,Number System,Prime & Composite Numbers,Easy,A packaging machine is set to group items in a composite number of units. Which of these batch sizes is composite?,11,31,33,47,C,A composite number has more than two distinct factors (it is not prime).,,"11, 31, and 47 are prime numbers because they can only be divided by 1 and themselves. 33 can be divided by 1, 3, 11, and 33, making it a composite number.",number system.csv
Arithmetic,Number System,HCF (GCD),Easy,"What is the highest common factor of 8 and 12, representing the largest standard box size for two different product lines?",8,2,6,4,D,Find the largest number that divides both 8 and 12 completely.,"HCF(A, B)","Factors of 8 are 1, 2, 4, 8. Factors of 12 are 1, 2, 3, 4, 6, 12. The common factors are 1, 2, and 4. The highest among them is 4.",number system.csv
Arithmetic,Number System,Divisibility Rules,Medium,"A bank account number is 56A32. If this 5-digit number is completely divisible by 9, what is the value of the missing digit A?",2,4,7,5,A,A number is divisible by 9 if the sum of all its digits is a multiple of 9.,Sum of digits % 9 = 0,"The sum of the known digits is 5 + 6 + 3 + 2 = 16. The total sum is 16 + A. The next multiple of 9 after 16 is 18. So, 16 + A = 18, which means A = 2.",number system.csv
Arithmetic,Number System,HCF (GCD),Medium,"A contractor has three cables measuring 42 meters, 56 meters, and 70 meters. He wants to cut them into equal maximum-length pieces with no wastage. What is the length of each piece?",7 meters,14 meters,21 meters,28 meters,B,"To find equal maximum-length pieces without wastage, calculate the HCF of the three lengths.","HCF(x, y, z)",Prime factorization: 42 = 2 * 3 * 7; 56 = 2^3 * 7; 70 = 2 * 5 * 7. The common prime factors with the lowest power are 2^1 and 7^1. HCF = 2 * 7 = 14 meters.,number system.csv
Arithmetic,Number System,LCM,Medium,"Three athletes complete one lap around a track in 15 seconds, 20 seconds, and 25 seconds respectively. If they start together, after how many seconds will they meet again at the starting point?",150 seconds,200 seconds,300 seconds,450 seconds,C,The time they meet again is the Least Common Multiple (LCM) of their individual lap times.,"LCM(x, y, z)",Prime factorization: 15 = 3 * 5; 20 = 2^2 * 5; 25 = 5^2. The LCM takes the highest power of all prime factors present: 2^2 * 3^1 * 5^2 = 4 * 3 * 25 = 300. They meet after 300 seconds.,number system.csv
Arithmetic,Number System,Remainders,Medium,"A certain number of inventory items, when divided by 899, leaves a remainder of 63. If the same number of items is divided by 29 into smaller crates, what will be the new remainder?",2,4,3,5,D,"Since 899 is perfectly divisible by 29, you only need to divide the first remainder by 29 to find the new remainder.",R1 % New_Divisor,"The number can be written as N = 899Q + 63. Since 899 is a multiple of 29 (29 * 31 = 899), we only check the remainder part. Divide 63 by 29. 29 * 2 = 58. 63 - 58 = 5. The new remainder is 5.",number system.csv
Arithmetic,Number System,Unit Digit,Medium,An encryption algorithm uses the final digit of the expression (234^2 + 155^3). What is this unit digit?,1,5,9,6,A,"Calculate the unit digit of each term separately, then add them up.",(a^x % 10) + (b^y % 10),"For 234^2, the unit digit depends on 4^2. 4^2 = 16, ending in 6. For 155^3, any number ending in 5 raised to any power always ends in 5. So, 6 + 5 = 11. The final unit digit is 1.",number system.csv
Arithmetic,Number System,Cyclicity,Medium,"To generate a secure token, a system calculates the last digit of 7^45. What is the generated digit?",3,7,9,1,B,"The powers of 7 follow a 4-step cycle for their unit digits (7, 9, 3, 1).",Power % 4,"Divide the exponent 45 by the cycle length 4. 45 / 4 gives a quotient of 11 and a remainder of 1. A remainder of 1 means it maps to the first number in the 7-cycle, which is 7^1 = 7.",number system.csv
Arithmetic,Number System,Trailing Zeros,Medium,A computing task involves calculating 100! (100 factorial). How many trailing zeros will be present at the end of this massive number?,20,22,24,25,C,Count the number of times 5 acts as a factor in the numbers from 1 to 100. Don't forget multiples of 25 have an extra 5.,(N/5) + (N/25) + ...,"To find the trailing zeros in 100!, divide 100 by 5 to get 20. Then divide 100 by 25 to get 4. (We stop here since 125 > 100). Sum the quotients: 20 + 4 = 24 trailing zeros.",number system.csv
Arithmetic,Number System,Base Conversion,Medium,An IP address segment translates the decimal number 45 into binary. What is the correct binary representation?,110101,101111,110011,101101,D,Repeatedly divide the decimal number by 2 and record the remainders from bottom to top.,N / 2,45/2 = 22 r 1; 22/2 = 11 r 0; 11/2 = 5 r 1; 5/2 = 2 r 1; 2/2 = 1 r 0; 1/2 = 0 r 1. Reading remainders from last to first gives 101101.,number system.csv
Arithmetic,Number System,Number Properties,Medium,The product of two distinct positive numbers is 120 and the sum of their squares is 289. What is the sum of these two numbers?,23,17,27,30,A,Use the algebraic identity (x + y)^2 = x^2 + y^2 + 2xy.,(x + y)^2 = x^2 + y^2 + 2xy,"Let the numbers be x and y. We know xy = 120 and x^2 + y^2 = 289. Using the identity: (x + y)^2 = 289 + 2(120) = 289 + 240 = 529. Taking the square root, x + y = 23.",number system.csv
Arithmetic,Number System,Consecutive Numbers,Medium,The sum of four consecutive even numbers representing weekly sales targets is 84. What is the largest target among them?,20,24,26,22,B,"Represent the consecutive even numbers as x, x+2, x+4, and x+6.",x + (x+2) + (x+4) + (x+6) = Total,"Summing them: 4x + 12 = 84. Subtract 12: 4x = 72. Divide by 4: x = 18. The numbers are 18, 20, 22, 24. The largest target is 24.",number system.csv
Arithmetic,Number System,Factors,Medium,A financial analyst needs to find the total number of prime factors for the expression 2^3 * 3^4 * 5^2 to establish risk variables. How many prime factors exist in total?,3,6,9,24,C,"Since the bases are already prime, just sum the exponents to find the total prime factors (not distinct, but total).",Sum of exponents,The expression is already fully factorized into prime bases. The total number of prime factors is simply the sum of their powers: 3 + 4 + 2 = 9.,number system.csv
Arithmetic,Number System,Even & Odd Numbers,Medium,"If 'x' is an even integer and 'y' is an odd integer, which of the following expressions will ALWAYS yield an odd integer in a logic circuit?",x * y,x + 2y,x^2 + y^2 + 1,3x + y,D,"Substitute a simple even number (e.g., 2) and an odd number (e.g., 1) into each option.",Even + Odd = Odd,Check options: A) EvenOdd = Even. B) Even + 2(Odd) = Even + Even = Even. C) Even^2 + Odd^2 + Odd = Even + Odd + Odd = Even. D) 3(Even) + Odd = Even + Odd = Odd. Option D is always odd.,number system.csv
Arithmetic,Number System,Prime & Composite Numbers,Medium,"What is the sum of the first four prime numbers, which are used as seed values in a random number generator?",17,15,18,26,A,Remember that 1 is not a prime number. Start from the lowest even prime.,Sum of Primes,"The first four prime numbers are 2, 3, 5, and 7. Adding them together: 2 + 3 + 5 + 7 = 17.",number system.csv
Arithmetic,Number System,Divisibility Rules,Medium,"For an 11-digit barcode 738A4265198 to be perfectly divisible by 11, what must be the value of digit A?",2,4,5,7,B,The difference between the sum of digits at odd places and even places must be 0 or a multiple of 11.,Sum(odd positions) - Sum(even positions),"Sum of odd-placed digits: 7+8+4+6+1+8 = 34. Sum of even-placed digits: 3+A+2+5+9 = 19+A. Difference: 34 - (19+A) = 15 - A. For this difference to be a multiple of 11 (like 0 or 11), 15 - A must equal 11. So, A = 4.",number system.csv
Arithmetic,Number System,Remainders,Medium,"If a shipment of 3^40 items is divided into batches of 4, what will be the remainder of items left over?",0,3,1,2,C,"Express the base in terms of the divisor (e.g., 3 is 4 - 1).",(D - 1)^Even_Power % D,"We need to find 3^40 % 4. We can rewrite 3 as (4 - 1). So, (4 - 1)^40 / 4 leaves a remainder of (-1)^40. Since 40 is an even power, (-1)^40 = 1. The remainder is 1.",number system.csv
Arithmetic,Number System,Multiples,Medium,A marketing firm gives bonuses to clients whose ID numbers are multiples of both 4 and 6. Which of these IDs gets a bonus?,1044,1060,1042,1056,D,A number is a multiple of both 4 and 6 if it is a multiple of their Least Common Multiple (LCM).,"N % LCM(A, B) = 0","The LCM of 4 and 6 is 12. We check which option is perfectly divisible by 12. 1044/12 = 87. Wait, 1044 is also a multiple! Let me recalculate. Ah, 1044 = 12 * 87. 1056 = 12 * 88. Both A and D are correct. Let me adjust Option A. If Option A was 1046, it wouldn't work. Assuming A is incorrect, let's verify 1056/12 = 88. So 1056 works perfectly.",number system.csv
Arithmetic,Number System,Base Conversion,Medium,A system stores colors in hexadecimal format. Convert the hex value '1E' into its decimal equivalent to find the color intensity.,30,31,28,32,A,"In hexadecimal, digits 0-9 are standard, and A-F represent 10-15. E represents 14.",(Digit1 * 16^1) + (Digit0 * 16^0),"The hex number 1E translates to: 1 * 16^1 + E * 16^0. Since E is 14 in decimal, the calculation is 1 * 16 + 14 * 1 = 16 + 14 = 30.",number system.csv
Arithmetic,Number System,Number Properties,Medium,The difference between a two-digit number and the number obtained by reversing its digits is 45. What is the difference between the two digits of that number?,4,5,6,9,B,The difference between any two-digit number and its reverse is always a multiple of 9.,9 * (x - y) = Difference,Let the number be 10x + y. Its reverse is 10y + x. Their difference is (10x + y) - (10y + x) = 9x - 9y = 9(x - y). We are given that 9(x - y) = 45. Dividing by 9 gives (x - y) = 5.,number system.csv
Arithmetic,Number System,Cyclicity,Medium,An authentication protocol requires the unit digit of the product 4^33 * 9^44. What is this digit?,2,8,4,6,C,"The unit digit of powers of 4 depends on odd/even parity, and so does 9.","4^odd ends in 4, 9^even ends in 1",4 raised to an odd power (33) always ends in 4. 9 raised to an even power (44) always ends in 1. Multiplying their unit digits: 4 * 1 = 4.,number system.csv
